inspection_id,hive_id,inspection_date,blooming_status,vegetation_density,nectar_source_availability,structural_damage
2191,1,2026-06-29,peak_bloom,moderate,scarce,moderate
2192,1,2026-07-02,no_bloom,dense,scarce,minor
2195,1,2026-07-13,no_bloom,dense,moderate,minor
2196,1,2026-07-17,peak_bloom,moderate,abundant,none
2197,1,2026-07-20,no_bloom,sparse,scarce,minor
2200,1,2026-07-31,peak_bloom,sparse,scarce,none
2201,1,2026-08-03,no_bloom,dense,abundant,none
2202,1,2026-08-07,no_bloom,dense,moderate,none
2203,2,2026-07-01,no_bloom,moderate,scarce,severe
2204,2,2026-07-04,peak_bloom,sparse,abundant,minor
2205,2,2026-07-08,no_bloom,dense,moderate,none
2206,2,2026-07-11,no_bloom,moderate,abundant,minor
