inspection_id,hive_id,inspection_date,blooming_status,vegetation_density,nectar_source_availability,structural_damage
2191,1,2026-06-29,peak_bloom,moderate,scarce,NULL
2192,1,2026-07-02,no_bloom,dense,scarce,NULL
2195,1,2026-07-13,no_bloom,dense,moderate,NULL
2196,1,2026-07-17,peak_bloom,moderate,abundant,NULL
2197,1,2026-07-20,no_bloom,sparse,scarce,NULL
2200,1,2026-07-31,peak_bloom,sparse,scarce,NULL
2201,1,2026-08-03,no_bloom,dense,abundant,NULL
2202,1,2026-08-07,no_bloom,dense,moderate,NULL
2203,2,2026-07-01,no_bloom,moderate,scarce,NULL
2204,2,2026-07-04,peak_bloom,sparse,abundant,NULL
2205,2,2026-07-08,no_bloom,dense,moderate,NULL
2206,2,2026-07-11,no_bloom,moderate,abundant,NULL
