mq2_value,mq3_value,mq5_value,mq135_value,temp,humidity,label
81,90,152,190,30.3,62.4,approaching
43,42,108,158,28.1,61.6,not_ready
46,35,107,163,28.3,68.1,not_ready
157,176,243,281,30.2,79.3,ready
116,136,204,236,31.1,74.9,nearly_ready
118,134,195,243,31.1,71.1,nearly_ready
82,80,158,192,30.7,69.2,approaching
159,173,244,292,33.2,76.3,ready
156,179,247,270,33.0,79.1,ready
49,32,118,160,27.5,67.4,not_ready
74,88,149,198,27.9,67.2,approaching
160,175,248,279,31.6,69.0,ready
158,167,243,275,30.5,74.2,ready
79,81,149,177,28.0,73.1,approaching
167,175,245,285,32.6,78.6,ready
162,168,242,272,30.2,78.5,ready
78,82,152,188,28.7,69.7,approaching
158,181,244,281,32.1,75.6,ready
81,80,158,194,28.5,68.4,approaching
81,85,154,184,28.0,72.8,approaching
121,126,201,234,29.9,67.8,nearly_ready
44,39,112,159,27.1,64.7,not_ready
121,133,204,242,31.6,75.5,nearly_ready
83,81,151,203,30.4,68.0,approaching
77,85,143,202,30.7,67.6,approaching
83,89,149,193,30.2,67.8,approaching
78,81,147,186,29.5,66.5,approaching
81,83,148,195,28.4,68.6,approaching
115,124,195,245,29.6,79.9,nearly_ready
120,124,195,245,30.5,74.0,nearly_ready
47,42,108,158,28.8,68.9,not_ready
44,38,102,160,28.6,73.4,not_ready
81,79,150,187,30.5,68.6,approaching
81,87,145,194,29.0,66.6,approaching
158,173,244,287,31.7,75.1,ready
125,127,195,238,30.6,75.3,nearly_ready
118,127,207,240,31.5,67.5,nearly_ready
128,128,198,248,32.1,70.4,nearly_ready
157,170,252,284,31.3,75.1,ready
81,79,147,184,31.5,69.1,approaching
88,82,153,193,32.6,72.4,approaching
161,169,239,285,30.5,74.3,ready
40,41,108,161,28.5,64.0,not_ready
44,41,106,152,29.0,66.9,not_ready
121,122,205,242,30.8,74.9,nearly_ready
160,176,245,279,30.7,74.2,ready
44,41,112,169,28.2,74.2,not_ready
42,39,112,153,29.6,68.3,not_ready
117,132,201,230,32.0,77.4,nearly_ready
83,79,150,196,27.8,70.6,approaching
114,132,199,237,31.2,73.3,nearly_ready
158,179,252,276,32.6,74.9,ready
41,45,112,154,29.3,62.3,not_ready
121,130,196,243,29.9,72.4,nearly_ready
116,123,192,243,29.2,77.3,nearly_ready
74,83,152,191,27.4,68.7,approaching
119,132,194,241,30.7,73.5,nearly_ready
84,80,150,188,30.0,70.0,approaching
159,178,242,288,30.3,70.6,ready
82,86,143,198,29.8,67.8,approaching
164,176,241,276,31.2,76.3,ready
84,92,151,192,29.0,66.5,approaching
45,38,108,151,28.1,68.6,not_ready
43,44,99,165,28.6,65.1,not_ready
45,43,117,164,28.2,68.3,not_ready
119,133,201,240,30.1,71.8,nearly_ready
51,42,104,157,29.8,63.9,not_ready
156,179,250,272,32.1,77.1,ready
84,78,153,200,27.0,66.6,approaching
120,133,200,245,30.0,76.2,nearly_ready
86,81,153,190,29.3,72.3,approaching
129,129,206,235,30.5,77.3,nearly_ready
160,172,242,268,31.0,67.7,ready
41,35,121,162,27.2,68.8,not_ready
111,136,201,238,30.0,73.2,nearly_ready
123,134,204,232,30.0,73.5,nearly_ready
50,40,106,164,27.5,68.4,not_ready
119,130,208,233,31.5,71.4,nearly_ready
122,125,204,247,30.9,77.6,nearly_ready
118,135,187,246,31.7,65.8,nearly_ready
44,30,103,157,27.5,66.9,not_ready
78,84,149,190,30.1,71.3,approaching
44,36,112,158,28.6,68.0,not_ready
160,170,252,272,31.8,72.7,ready
153,169,252,274,30.5,68.5,ready
82,83,149,186,28.9,71.3,approaching
154,182,244,270,31.6,73.0,ready
40,37,110,160,30.8,60.4,not_ready
156,181,243,280,31.3,75.0,ready
82,83,150,186,29.5,70.5,approaching
39,40,107,169,27.7,65.0,not_ready
120,139,197,236,29.9,70.3,nearly_ready
116,124,191,248,31.2,71.8,nearly_ready
43,33,114,163,29.6,69.2,not_ready
43,42,114,156,28.9,70.6,not_ready
161,185,251,282,32.1,77.6,ready
157,179,246,282,32.1,76.3,ready
44,30,105,161,29.2,66.5,not_ready
48,35,117,162,29.3,71.7,not_ready
120,122,193,243,30.7,71.4,nearly_ready
41,38,106,162,27.9,65.1,not_ready
44,33,113,162,27.6,66.5,not_ready
116,134,207,236,29.7,73.4,nearly_ready
118,126,193,235,30.5,77.4,nearly_ready
129,129,200,239,30.7,71.6,nearly_ready
117,127,201,241,31.2,78.0,nearly_ready
41,37,106,153,29.3,70.1,not_ready
87,87,161,186,30.4,69.6,approaching
118,128,193,234,29.4,77.3,nearly_ready
117,130,200,246,33.0,70.4,nearly_ready
164,178,241,282,32.9,77.8,ready
45,37,115,169,28.3,65.3,not_ready
159,171,245,271,30.9,76.0,ready
155,176,249,273,31.6,72.9,ready
89,90,149,197,30.1,73.1,approaching
126,133,191,231,29.9,72.1,nearly_ready
78,84,152,202,30.5,67.3,approaching
42,33,120,151,28.1,66.4,not_ready
151,178,248,282,30.5,74.9,ready
42,35,108,155,28.4,67.0,not_ready
40,38,115,165,27.3,65.0,not_ready
118,132,209,246,30.2,68.7,nearly_ready
155,183,237,266,31.9,73.5,ready
153,178,245,276,30.2,77.6,ready
44,39,109,161,28.8,63.9,not_ready
46,33,113,168,26.9,66.6,not_ready
161,171,247,273,30.9,80.7,ready
117,133,203,250,31.1,70.9,nearly_ready
78,79,158,196,29.5,73.4,approaching
52,41,102,161,27.8,68.6,not_ready
161,173,251,280,33.6,72.9,ready
49,33,123,148,28.3,67.8,not_ready
86,81,140,185,27.6,67.9,approaching
162,169,241,281,33.1,74.8,ready
45,41,107,160,25.3,62.9,not_ready
117,128,193,233,29.5,69.7,nearly_ready
39,32,119,159,28.6,61.7,not_ready
112,135,199,236,29.5,67.0,nearly_ready
82,82,150,195,28.7,75.3,approaching
119,129,205,236,30.6,70.6,nearly_ready
156,174,242,291,31.9,76.3,ready
155,176,244,282,31.6,71.2,ready
156,176,248,282,31.7,76.1,ready
44,35,116,162,29.3,67.9,not_ready
80,79,142,192,28.7,64.7,approaching
37,34,115,163,29.0,77.6,not_ready
43,37,105,156,28.0,69.2,not_ready
117,127,200,236,29.8,72.3,nearly_ready
83,82,152,187,29.6,68.5,approaching
77,77,155,202,28.1,70.7,approaching
157,180,247,277,32.3,66.5,ready
161,176,243,278,31.4,74.9,ready
78,83,146,189,30.5,67.3,approaching
44,31,114,158,27.8,67.8,not_ready
43,30,111,162,30.0,64.4,not_ready
81,79,150,189,29.8,66.5,approaching
157,175,247,273,31.2,70.0,ready
122,131,200,229,30.9,72.6,nearly_ready
42,35,111,162,30.4,66.5,not_ready
80,86,158,191,31.1,64.9,approaching
154,177,246,281,30.9,73.0,ready
117,128,201,236,31.8,69.3,nearly_ready
157,172,247,281,32.4,76.9,ready
161,176,249,262,33.6,74.6,ready
90,80,146,187,27.4,67.4,approaching
77,78,156,196,30.1,70.9,approaching
118,123,199,237,27.8,71.8,nearly_ready
78,81,154,195,29.5,69.4,approaching
150,175,239,272,31.7,79.2,ready
78,82,152,200,30.4,68.5,approaching
44,36,111,157,27.9,68.5,not_ready
82,79,153,181,29.4,65.4,approaching
39,36,112,157,26.9,66.2,not_ready
82,81,148,192,28.1,64.8,approaching
160,180,245,283,31.4,79.3,ready
154,170,252,285,30.8,81.8,ready
121,123,196,238,30.4,73.9,nearly_ready
46,32,110,167,28.6,62.8,not_ready
160,175,253,273,30.0,72.9,ready
161,174,232,293,30.1,70.1,ready
49,41,110,163,28.0,64.6,not_ready
84,86,157,191,30.2,68.1,approaching
125,132,199,240,31.7,69.5,nearly_ready
120,124,202,243,31.1,75.2,nearly_ready
152,178,247,292,31.2,75.7,ready
121,130,196,242,32.4,76.0,nearly_ready
85,81,149,185,29.1,70.1,approaching
120,124,205,238,30.0,75.1,nearly_ready
78,85,146,180,27.9,69.1,approaching
76,86,152,185,29.0,65.8,approaching
119,130,197,234,30.7,69.1,nearly_ready
151,177,244,282,31.7,79.1,ready
46,34,119,152,29.1,72.6,not_ready
157,176,246,282,33.1,76.4,ready
77,86,155,180,28.3,62.9,approaching
122,129,194,231,30.2,77.0,nearly_ready
40,36,117,162,28.0,67.5,not_ready
86,84,152,189,29.0,67.7,approaching
161,173,236,276,33.0,77.6,ready
120,124,212,240,30.6,74.2,nearly_ready
