sample_id,hive_id,device_id,timestamp,hive_age_days,days_since_last_harvest,cycle_progress,scenario_type,season,weather_state,temp,humidity,mq2_value,mq3_value,mq5_value,mq135_value,maturity_index,stress_index,readiness_score,readiness_level,out_of_distribution_case,threshold_warning_count,critical_stress_flag
BH-EAR-001-033,HIVE-001,ESP32-1001,2026-02-05T10:00:00,50,25,0.2858,early_stage_healthy,wet,storm_front,27.25,79.07,95,121,164,226,0.2296,0.0,0.281,not_ready,False,0,False
BH-LAT-036-015,HIVE-036,ESP32-1036,2026-03-31T10:00:00,115,14,0.834,late_stage_ready,dry,midday_heat,33.45,49.61,174,138,249,274,0.9494,0.1642,0.824,ready,False,0,False
BH-EAR-003-047,HIVE-003,ESP32-1003,2026-03-23T18:00:00,63,39,0.3047,early_stage_healthy,wet,storm_front,26.27,79.76,120,84,156,189,0.2493,0.0,0.299,not_ready,False,0,False
BH-LAT-029-070,HIVE-029,ESP32-1029,2026-03-07T12:00:00,116,30,0.677,late_stage_nearly_ready,dry,cloudy_stable,32.3,59.77,147,139,208,254,0.7937,0.0,0.7776,nearly_ready,False,0,False
BH-LAT-026-032,HIVE-026,ESP32-1026,2026-03-17T12:00:00,118,17,0.8427,late_stage_nearly_ready,dry,midday_heat,31.81,62.34,151,145,240,264,0.8573,0.0,0.833,ready,False,0,False
BH-MID-014-043,HIVE-014,ESP32-1014,2026-04-09T02:00:00,81,27,0.6428,mid_stage_stable,inter_monsoon,cloudy_stable,29.36,69.11,131,113,161,253,0.5982,0.0,0.6044,nearly_ready,False,0,False
BH-ENV-063-060,HIVE-063,ESP32-1063,2026-04-08T16:00:00,140,34,0.7914,environmentally_unstable,inter_monsoon,stable_clear,34.67,60.61,136,100,273,273,0.7803,0.4428,0.5218,approaching,False,2,False
BH-ENV-060-064,HIVE-060,ESP32-1060,2026-04-27T12:00:00,141,37,0.7238,environmentally_unstable,inter_monsoon,post_rain,33.74,80.7,198,103,268,224,0.7369,0.5787,0.3489,not_ready,False,4,True
BH-LAT-040-064,HIVE-040,ESP32-1040,2026-03-17T00:00:00,152,42,0.9303,late_stage_overheated,dry,midday_heat,37.96,57.45,201,154,250,330,0.9575,0.7161,0.4666,approaching,False,3,True
BH-HIG-051-069,HIVE-051,ESP32-1051,2026-03-08T14:00:00,155,37,1.0,high_humidity_fermentation_risk,inter_monsoon,cloudy_stable,32.29,81.89,118,166,219,260,0.9831,0.2981,0.7798,nearly_ready,False,1,False
BH-MID-017-037,HIVE-017,ESP32-1017,2026-03-02T02:00:00,96,27,0.5066,mid_stage_stable,inter_monsoon,stable_clear,31.58,69.68,127,106,194,239,0.5235,0.0,0.538,approaching,False,0,False
BH-ENV-062-071,HIVE-062,ESP32-1062,2026-04-04T22:00:00,99,33,0.8773,environmentally_unstable,inter_monsoon,humid_rain,33.07,67.78,136,180,241,275,0.8,0.2732,0.6316,nearly_ready,False,0,False
BH-MID-012-004,HIVE-012,ESP32-1012,2026-01-23T12:00:00,78,13,0.4862,mid_stage_stable,dry,cloudy_stable,32.49,70.58,116,123,186,220,0.4834,0.0,0.5038,approaching,False,0,False
BH-MID-013-074,HIVE-013,ESP32-1013,2026-04-09T04:00:00,110,41,0.5669,mid_stage_stable,inter_monsoon,stable_clear,30.29,62.59,87,103,164,223,0.598,0.0,0.6045,nearly_ready,False,0,False
BH-LAT-036-002,HIVE-036,ESP32-1036,2026-03-28T04:00:00,113,9,0.8241,late_stage_ready,dry,cloudy_stable,31.76,54.3,170,123,240,250,0.8775,0.0,0.8509,ready,False,0,False
BH-EAR-007-010,HIVE-007,ESP32-1007,2026-03-13T00:00:00,43,11,0.3338,early_stage_healthy,inter_monsoon,post_rain,28.21,75.77,76,77,156,213,0.2576,0.0,0.3051,not_ready,False,0,False
BH-MID-010-038,HIVE-010,ESP32-1010,2026-02-12T00:00:00,98,29,0.6437,mid_stage_stable,inter_monsoon,post_rain,29.74,81.83,115,124,192,280,0.6228,0.0,0.6273,nearly_ready,False,1,False
BH-HIG-056-025,HIVE-056,ESP32-1056,2026-04-28T18:00:00,113,20,0.901,high_gas_stress,inter_monsoon,stable_clear,32.09,73.46,201,223,266,352,0.8176,0.5212,0.4508,approaching,False,4,True
BH-LAT-030-018,HIVE-030,ESP32-1030,2026-04-20T00:00:00,130,16,0.9437,late_stage_ready,inter_monsoon,cloudy_stable,29.96,62.87,150,142,250,276,0.9933,0.0,0.9527,ready,False,0,False
BH-LAT-036-077,HIVE-036,ESP32-1036,2026-04-15T22:00:00,132,31,0.9822,late_stage_ready,dry,stable_clear,32.97,50.03,166,141,246,268,1.0,0.1036,0.9019,ready,False,0,False
BH-LAT-020-079,HIVE-020,ESP32-1020,2026-02-11T14:00:00,122,37,0.8475,late_stage_nearly_ready,dry,midday_heat,34.04,67.14,132,163,218,267,0.8433,0.178,0.7229,nearly_ready,False,1,False
BH-MID-012-028,HIVE-012,ESP32-1012,2026-01-29T12:00:00,86,16,0.572,mid_stage_stable,dry,cloudy_stable,32.13,70.96,116,119,186,213,0.5594,0.0,0.5713,approaching,False,0,False
BH-LAT-024-069,HIVE-024,ESP32-1024,2026-05-01T10:00:00,107,36,0.7653,late_stage_nearly_ready,dry,cloudy_stable,34.07,57.19,147,139,230,265,0.8156,0.1334,0.7236,nearly_ready,False,1,False
BH-EAR-006-066,HIVE-006,ESP32-1006,2026-02-25T12:00:00,36,22,0.4084,early_stage_healthy,wet,storm_front,27.78,78.26,90,96,141,222,0.2742,0.0,0.3203,not_ready,False,0,False
BH-HIG-049-025,HIVE-049,ESP32-1049,2026-05-03T10:00:00,92,12,0.8835,high_humidity_fermentation_risk,wet,post_rain,30.82,92.03,154,187,267,328,0.8464,0.678,0.3911,approaching,False,4,True
