sample_id,hive_id,device_id,timestamp,hive_age_days,days_since_last_harvest,cycle_progress,scenario_type,season,weather_state,temp,humidity,mq2_value,mq3_value,mq5_value,mq135_value,maturity_index,stress_index,readiness_score,readiness_level,out_of_distribution_case,threshold_warning_count,critical_stress_flag
BH-EAR-001-000,HIVE-001,ESP32-1001,2026-01-28T04:00:00,39,14,0.2181,early_stage_healthy,wet,humid_rain,28.89,71.84,77,98,145,194,0.1921,0.0,0.247,not_ready,False,0,False
BH-EAR-001-001,HIVE-001,ESP32-1001,2026-01-28T10:00:00,39,13,0.2219,early_stage_healthy,wet,cloudy_stable,29.39,71.16,78,105,149,188,0.197,0.0,0.2518,not_ready,False,0,False
BH-EAR-001-002,HIVE-001,ESP32-1001,2026-01-28T16:00:00,39,8,0.2478,early_stage_healthy,wet,cloudy_stable,29.05,71.69,76,103,154,193,0.2211,0.0,0.2735,not_ready,False,0,False
BH-EAR-001-003,HIVE-001,ESP32-1001,2026-01-28T22:00:00,39,13,0.2494,early_stage_healthy,wet,cloudy_stable,29.14,70.77,71,97,155,199,0.1855,0.0,0.2424,not_ready,False,0,False
BH-EAR-001-004,HIVE-001,ESP32-1001,2026-01-29T04:00:00,39,14,0.238,early_stage_healthy,wet,cloudy_stable,28.94,70.7,78,90,151,203,0.1609,0.0,0.2208,not_ready,False,0,False
BH-EAR-001-005,HIVE-001,ESP32-1001,2026-01-29T10:00:00,39,13,0.2172,early_stage_healthy,wet,cloudy_stable,29.31,72.44,82,92,161,207,0.1682,0.0,0.2261,not_ready,False,0,False
BH-EAR-001-006,HIVE-001,ESP32-1001,2026-01-29T16:00:00,39,11,0.2405,early_stage_healthy,wet,cloudy_stable,28.99,71.66,83,101,161,201,0.1709,0.0,0.2291,not_ready,False,0,False
BH-EAR-001-007,HIVE-001,ESP32-1001,2026-01-29T22:00:00,40,16,0.2198,early_stage_healthy,wet,post_rain,28.47,73.13,78,105,152,199,0.1949,0.0,0.2495,not_ready,False,0,False
BH-EAR-001-008,HIVE-001,ESP32-1001,2026-01-30T04:00:00,40,9,0.2504,early_stage_healthy,wet,humid_rain,28.02,75.96,86,113,161,212,0.2061,0.0,0.2585,not_ready,False,0,False
BH-EAR-001-009,HIVE-001,ESP32-1001,2026-01-30T10:00:00,40,10,0.2425,early_stage_healthy,wet,humid_rain,28.6,76.57,89,113,162,210,0.2169,0.0,0.2693,not_ready,False,0,False
BH-EAR-001-010,HIVE-001,ESP32-1001,2026-01-30T16:00:00,40,15,0.2277,early_stage_healthy,wet,cloudy_stable,28.87,74.98,78,106,164,222,0.1755,0.0,0.2326,not_ready,False,0,False
BH-EAR-001-011,HIVE-001,ESP32-1001,2026-01-30T22:00:00,40,15,0.2296,early_stage_healthy,wet,cloudy_stable,28.91,73.45,84,100,162,210,0.1869,0.0,0.2433,not_ready,False,0,False
BH-EAR-001-012,HIVE-001,ESP32-1001,2026-01-31T04:00:00,41,12,0.2257,early_stage_healthy,wet,humid_rain,28.46,74.85,83,106,171,215,0.1617,0.0,0.2205,not_ready,False,0,False
BH-EAR-001-013,HIVE-001,ESP32-1001,2026-01-31T10:00:00,41,11,0.2219,early_stage_healthy,wet,humid_rain,28.41,75.7,96,109,181,215,0.1664,0.0,0.2255,not_ready,False,0,False
BH-EAR-001-014,HIVE-001,ESP32-1001,2026-01-31T16:00:00,41,13,0.2263,early_stage_healthy,wet,humid_rain,28.26,76.77,97,116,185,223,0.145,0.0,0.2065,not_ready,False,0,False
BH-EAR-001-015,HIVE-001,ESP32-1001,2026-01-31T22:00:00,42,12,0.2557,early_stage_healthy,wet,humid_rain,28.38,77.71,93,116,183,231,0.1608,0.0,0.2207,not_ready,False,0,False
BH-EAR-001-016,HIVE-001,ESP32-1001,2026-02-01T04:00:00,42,14,0.2423,early_stage_healthy,wet,humid_rain,28.65,78.31,94,115,177,232,0.165,0.0,0.2242,not_ready,False,0,False
BH-EAR-001-017,HIVE-001,ESP32-1001,2026-02-01T10:00:00,42,14,0.2538,early_stage_healthy,wet,storm_front,28.07,79.06,89,121,158,221,0.171,0.0,0.2283,not_ready,False,0,False
BH-EAR-001-018,HIVE-001,ESP32-1001,2026-02-01T16:00:00,43,20,0.2496,early_stage_healthy,wet,humid_rain,28.36,77.82,83,109,166,212,0.1771,0.0,0.2341,not_ready,False,0,False
BH-EAR-001-019,HIVE-001,ESP32-1001,2026-02-01T22:00:00,43,16,0.2371,early_stage_healthy,wet,humid_rain,28.36,77.42,87,109,158,223,0.2049,0.0,0.2599,not_ready,False,0,False
BH-EAR-001-020,HIVE-001,ESP32-1001,2026-02-02T04:00:00,43,14,0.2667,early_stage_healthy,wet,humid_rain,28.21,76.95,88,110,162,216,0.1808,0.0,0.2385,not_ready,False,0,False
BH-EAR-001-021,HIVE-001,ESP32-1001,2026-02-02T10:00:00,44,13,0.2533,early_stage_healthy,wet,humid_rain,28.6,76.53,91,110,160,214,0.1769,0.0,0.2346,not_ready,False,0,False
BH-EAR-001-022,HIVE-001,ESP32-1001,2026-02-02T16:00:00,44,15,0.2616,early_stage_healthy,wet,humid_rain,28.39,76.28,89,105,170,212,0.2338,0.0,0.2849,not_ready,False,0,False
BH-EAR-001-023,HIVE-001,ESP32-1001,2026-02-02T22:00:00,45,18,0.2427,early_stage_healthy,wet,humid_rain,28.8,76.91,87,109,160,211,0.1788,0.0,0.236,not_ready,False,0,False
BH-EAR-001-024,HIVE-001,ESP32-1001,2026-02-03T04:00:00,45,15,0.2692,early_stage_healthy,wet,humid_rain,28.47,78.12,91,105,167,206,0.1746,0.0,0.2321,not_ready,False,0,False
BH-EAR-001-025,HIVE-001,ESP32-1001,2026-02-03T10:00:00,46,17,0.2792,early_stage_healthy,wet,humid_rain,28.45,77.02,90,115,164,204,0.2391,0.0,0.2896,not_ready,False,0,False
BH-EAR-001-026,HIVE-001,ESP32-1001,2026-02-03T16:00:00,46,15,0.2731,early_stage_healthy,wet,humid_rain,29.29,75.91,95,118,171,225,0.1804,0.0,0.236,not_ready,False,0,False
BH-EAR-001-027,HIVE-001,ESP32-1001,2026-02-03T22:00:00,47,22,0.2785,early_stage_healthy,wet,humid_rain,29.26,75.0,101,120,165,233,0.2207,0.0,0.2734,not_ready,False,0,False
BH-EAR-001-028,HIVE-001,ESP32-1001,2026-02-04T04:00:00,47,18,0.2622,early_stage_healthy,wet,humid_rain,29.03,75.04,98,114,159,220,0.2306,0.0,0.2821,not_ready,False,0,False
BH-EAR-001-029,HIVE-001,ESP32-1001,2026-02-04T10:00:00,48,23,0.2819,early_stage_healthy,wet,storm_front,27.93,78.08,96,116,168,226,0.1891,0.0,0.2425,not_ready,False,0,False
BH-EAR-001-030,HIVE-001,ESP32-1001,2026-02-04T16:00:00,48,19,0.2663,early_stage_healthy,wet,storm_front,27.55,79.36,100,120,171,219,0.1893,0.0,0.2449,not_ready,False,0,False
BH-EAR-001-031,HIVE-001,ESP32-1001,2026-02-04T22:00:00,49,25,0.3005,early_stage_healthy,wet,storm_front,27.4,81.23,94,119,173,230,0.2365,0.0008,0.2862,not_ready,False,1,False
BH-EAR-001-032,HIVE-001,ESP32-1001,2026-02-05T04:00:00,49,22,0.293,early_stage_healthy,wet,storm_front,27.2,80.46,98,122,176,227,0.2154,0.0071,0.2646,not_ready,False,1,False
BH-EAR-001-033,HIVE-001,ESP32-1001,2026-02-05T10:00:00,50,25,0.2858,early_stage_healthy,wet,storm_front,27.25,79.07,95,121,164,226,0.2296,0.0,0.281,not_ready,False,0,False
BH-EAR-001-034,HIVE-001,ESP32-1001,2026-02-05T16:00:00,50,19,0.3125,early_stage_healthy,wet,storm_front,27.71,78.0,96,116,162,222,0.2538,0.0,0.3017,not_ready,False,0,False
BH-EAR-001-035,HIVE-001,ESP32-1001,2026-02-05T22:00:00,51,20,0.2772,early_stage_healthy,wet,storm_front,27.3,78.29,93,112,172,227,0.2267,0.0,0.2783,not_ready,False,0,False
BH-EAR-001-036,HIVE-001,ESP32-1001,2026-02-06T04:00:00,51,30,0.3176,early_stage_healthy,wet,humid_rain,28.04,77.67,90,109,167,213,0.2506,0.0,0.2985,not_ready,False,0,False
BH-EAR-001-037,HIVE-001,ESP32-1001,2026-02-06T10:00:00,52,24,0.3016,early_stage_healthy,wet,humid_rain,27.92,77.58,97,108,166,216,0.2448,0.0,0.295,not_ready,False,0,False
BH-EAR-001-038,HIVE-001,ESP32-1001,2026-02-06T16:00:00,52,22,0.2954,early_stage_healthy,wet,humid_rain,28.02,76.61,90,107,168,220,0.2078,0.0,0.262,not_ready,False,0,False
BH-EAR-001-039,HIVE-001,ESP32-1001,2026-02-06T22:00:00,53,24,0.3063,early_stage_healthy,wet,humid_rain,28.13,76.14,89,109,167,215,0.2353,0.0,0.2865,not_ready,False,0,False
BH-EAR-001-040,HIVE-001,ESP32-1001,2026-02-07T04:00:00,53,29,0.2914,early_stage_healthy,wet,humid_rain,28.69,77.62,87,103,156,210,0.2307,0.0,0.2808,not_ready,False,0,False
BH-EAR-001-041,HIVE-001,ESP32-1001,2026-02-07T10:00:00,54,23,0.3183,early_stage_healthy,wet,humid_rain,28.22,77.02,94,112,162,213,0.2348,0.0,0.285,not_ready,False,0,False
BH-EAR-001-042,HIVE-001,ESP32-1001,2026-02-07T16:00:00,54,29,0.333,early_stage_healthy,wet,storm_front,27.84,76.7,97,117,169,205,0.2595,0.0,0.307,not_ready,False,0,False
BH-EAR-001-043,HIVE-001,ESP32-1001,2026-02-07T22:00:00,55,27,0.3389,early_stage_healthy,wet,humid_rain,28.17,76.81,91,110,172,208,0.2479,0.0,0.2971,not_ready,False,0,False
BH-EAR-001-044,HIVE-001,ESP32-1001,2026-02-08T04:00:00,55,24,0.3263,early_stage_healthy,wet,humid_rain,28.8,77.65,91,104,176,202,0.2369,0.0,0.2865,not_ready,False,0,False
BH-EAR-001-045,HIVE-001,ESP32-1001,2026-02-08T10:00:00,56,32,0.3416,early_stage_healthy,wet,humid_rain,28.73,77.82,82,110,168,212,0.2337,0.0,0.2849,not_ready,False,0,False
BH-EAR-001-046,HIVE-001,ESP32-1001,2026-02-08T16:00:00,56,31,0.3378,early_stage_healthy,wet,humid_rain,28.64,76.44,86,115,163,201,0.2834,0.0,0.3282,not_ready,False,0,False
BH-EAR-001-047,HIVE-001,ESP32-1001,2026-02-08T22:00:00,57,26,0.3482,early_stage_healthy,wet,humid_rain,28.32,76.14,86,113,167,209,0.2334,0.0,0.2844,not_ready,False,0,False
BH-EAR-001-048,HIVE-001,ESP32-1001,2026-02-09T04:00:00,57,30,0.3304,early_stage_healthy,wet,storm_front,28.19,77.17,91,106,174,220,0.2664,0.0,0.3133,not_ready,False,0,False
BH-EAR-001-049,HIVE-001,ESP32-1001,2026-02-09T10:00:00,58,30,0.3316,early_stage_healthy,wet,storm_front,27.75,77.24,85,108,169,215,0.2538,0.0,0.3021,not_ready,False,0,False
BH-EAR-001-050,HIVE-001,ESP32-1001,2026-02-09T16:00:00,58,31,0.3528,early_stage_healthy,wet,storm_front,27.71,78.07,89,109,161,218,0.2837,0.0,0.3289,not_ready,False,0,False
BH-EAR-001-051,HIVE-001,ESP32-1001,2026-02-09T22:00:00,59,35,0.3576,early_stage_healthy,wet,storm_front,28.35,77.56,84,111,166,217,0.2667,0.0,0.3129,not_ready,False,0,False
BH-EAR-001-052,HIVE-001,ESP32-1001,2026-02-10T04:00:00,59,29,0.3276,early_stage_healthy,wet,storm_front,27.84,77.64,89,113,178,209,0.2314,0.0,0.2822,not_ready,False,0,False
BH-EAR-001-053,HIVE-001,ESP32-1001,2026-02-10T10:00:00,60,37,0.347,early_stage_healthy,wet,storm_front,27.94,77.6,92,120,174,214,0.2478,0.0,0.2976,not_ready,False,0,False
BH-EAR-001-054,HIVE-001,ESP32-1001,2026-02-10T16:00:00,60,35,0.3406,early_stage_healthy,wet,storm_front,28.21,80.04,93,124,177,215,0.2405,0.0,0.2898,not_ready,False,1,False
BH-EAR-001-055,HIVE-001,ESP32-1001,2026-02-10T22:00:00,61,32,0.3502,early_stage_healthy,wet,post_rain,29.15,78.88,90,123,178,216,0.2543,0.0,0.3012,not_ready,False,0,False
BH-EAR-001-056,HIVE-001,ESP32-1001,2026-02-11T04:00:00,61,31,0.3642,early_stage_healthy,wet,post_rain,28.7,76.19,87,117,174,222,0.2434,0.0,0.2917,not_ready,False,0,False
BH-EAR-001-057,HIVE-001,ESP32-1001,2026-02-11T10:00:00,62,34,0.3714,early_stage_healthy,wet,post_rain,29.02,75.64,86,109,166,216,0.2738,0.0,0.3197,not_ready,False,0,False
BH-EAR-001-058,HIVE-001,ESP32-1001,2026-02-11T16:00:00,62,41,0.3738,early_stage_healthy,wet,post_rain,28.61,75.53,88,111,165,208,0.2506,0.0,0.2995,not_ready,False,0,False
BH-EAR-001-059,HIVE-001,ESP32-1001,2026-02-11T22:00:00,63,42,0.3594,early_stage_healthy,wet,storm_front,28.06,76.41,90,119,165,223,0.2652,0.0,0.3115,not_ready,False,0,False
