mq2_value,mq3_value,mq5_value,mq135_value,temp,humidity,label
95,121,164,226,27.25,79.07,not_ready
174,138,249,274,33.45,49.61,ready
120,84,156,189,26.27,79.76,not_ready
147,139,208,254,32.3,59.77,nearly_ready
151,145,240,264,31.81,62.34,ready
131,113,161,253,29.36,69.11,nearly_ready
136,100,273,273,34.67,60.61,approaching
198,103,268,224,33.74,80.7,not_ready
201,154,250,330,37.96,57.45,approaching
118,166,219,260,32.29,81.89,nearly_ready
127,106,194,239,31.58,69.68,approaching
136,180,241,275,33.07,67.78,nearly_ready
116,123,186,220,32.49,70.58,approaching
87,103,164,223,30.29,62.59,nearly_ready
170,123,240,250,31.76,54.3,ready
76,77,156,213,28.21,75.77,not_ready
115,124,192,280,29.74,81.83,nearly_ready
201,223,266,352,32.09,73.46,approaching
150,142,250,276,29.96,62.87,ready
166,141,246,268,32.97,50.03,ready
132,163,218,267,34.04,67.14,nearly_ready
116,119,186,213,32.13,70.96,approaching
147,139,230,265,34.07,57.19,nearly_ready
90,96,141,222,27.78,78.26,not_ready
154,187,267,328,30.82,92.03,approaching
85,117,185,205,28.15,75.17,not_ready
148,158,235,261,34.71,63.77,nearly_ready
119,118,194,287,31.76,75.5,nearly_ready
50,73,122,198,28.68,71.91,not_ready
124,94,189,257,33.0,64.56,nearly_ready
63,70,152,196,28.34,75.3,not_ready
122,179,239,272,34.31,58.97,approaching
149,130,212,232,32.83,58.45,ready
115,163,213,236,34.66,64.45,approaching
117,98,183,258,33.14,64.8,nearly_ready
149,163,216,299,34.61,51.34,nearly_ready
159,148,243,259,31.6,66.82,ready
145,191,256,375,33.77,71.25,approaching
156,184,240,278,30.79,60.4,ready
50,73,109,199,28.94,71.06,not_ready
141,130,213,280,31.17,70.72,nearly_ready
170,138,225,259,31.47,64.61,ready
85,75,156,165,31.46,67.11,not_ready
95,80,130,215,28.44,79.33,not_ready
88,118,156,225,29.4,67.01,approaching
90,126,188,275,32.01,64.23,approaching
171,147,239,270,30.37,63.6,ready
133,103,187,203,32.0,68.66,nearly_ready
118,125,200,214,34.04,72.26,nearly_ready
130,140,220,252,33.1,64.2,nearly_ready
153,132,232,242,31.19,64.62,ready
81,77,153,167,32.49,69.17,not_ready
176,148,253,280,30.25,66.91,ready
122,95,186,276,33.54,61.45,nearly_ready
77,105,153,216,30.55,61.64,approaching
128,103,171,226,32.97,60.72,approaching
116,119,171,217,33.77,69.1,nearly_ready
147,137,200,281,30.72,72.17,ready
82,118,185,199,29.43,78.8,not_ready
127,160,237,232,33.84,62.99,nearly_ready
73,101,145,190,28.16,81.7,not_ready
59,82,124,214,28.64,72.95,not_ready
165,133,242,305,29.03,71.51,nearly_ready
138,156,236,252,32.99,66.17,nearly_ready
132,192,271,329,35.03,64.06,approaching
147,153,221,256,31.77,56.2,ready
85,114,171,200,28.94,75.05,not_ready
110,83,152,171,27.49,77.05,not_ready
59,86,117,210,29.07,73.81,approaching
227,214,289,374,30.28,78.72,approaching
146,128,206,284,30.16,72.12,ready
158,169,227,302,30.66,87.28,nearly_ready
95,115,187,261,32.1,70.98,nearly_ready
